,delta,delta_conf
migrate!558,0.038274814,0.005194417
valinc!788,0.038261527,0.003951324
migrate!664,0.038255701,0.005232241
chpqbm!254,0.038243062,0.004041934
migrate!543,0.038238739,0.004787123
dlbm!293,0.038238245,0.004044439
migrate!496,0.03823139,0.004494401
migrate!574,0.038223263,0.005076155
rlbm!715,0.038215874,0.004981063
migrate!420,0.038209556,0.004802231
ccmqbm!136,0.038206357,0.005357701
dfch!280,0.038205772,0.004413309
ecgradd!332,0.03819833,0.005304951
ecgradd!323,0.038186695,0.004899766
malch!412,0.038160705,0.004388151
pc!675,0.038158527,0.004812447
wlbm!800,0.038155006,0.005286023
migrate!627,0.03814895,0.004854069
migrate!655,0.038148821,0.005434016
agrbm!95,0.038148409,0.005064524
agrbm!89,0.038140849,0.006160857
malch!413,0.03810077,0.004499587
migrate!485,0.038097464,0.004043834
agnl!82,0.03809213,0.004217425
rqbm!730,0.038085446,0.00502152
migrate!453,0.038071841,0.005048311
migrate!416,0.038069183,0.00454035
ccpqbm!177,0.038058924,0.004908885
migrate!624,0.038050215,0.004847132
dlbm!290,0.038049223,0.004845954
migrate!552,0.038044841,0.004443835
migrate!665,0.038038479,0.004983667
ccplbm!156,0.038032779,0.004602588
lifesea!396,0.03803175,0.00464448
migrate!427,0.038029752,0.004271553
migrate!506,0.038020783,0.004729133
migrate!557,0.038012345,0.003774814
wmbm!814,0.037996914,0.004148853
migrate!656,0.037973972,0.004543916
ccplbm!158,0.03796959,0.004254089
rqbm!738,0.037959567,0.004637683
migrate!469,0.037958451,0.004297675
wlbm!808,0.037958295,0.005039687
migrate!630,0.037957486,0.004335111
taxmp!759,0.037955978,0.005282288
agcbm!34,0.037947002,0.00447911
n2oadd!672,0.037941638,0.004093242
migrate!494,0.037941474,0.004773553
aceiadd!8,0.037918898,0.005029122
taxmp!769,0.037907527,0.004740817
chpqbm!256,0.03790556,0.004149611
pgadd!695,0.037904747,0.005148864
pgadd!689,0.037903958,0.004839412
dfch!274,0.037899803,0.004786105
migrate!486,0.037895246,0.00482233
migrate!473,0.03789492,0.004861954
malch!407,0.037892526,0.004204362
chpqbm!250,0.03788915,0.005292363
malch!411,0.037885058,0.005015671
agcbm!48,0.037883115,0.004204829
ecgradd!330,0.03786331,0.004269108
taxmp!760,0.037849608,0.005651706
hebm!374,0.037849532,0.004321823
aceiadd!13,0.037831808,0.004202257
migrate!490,0.037827967,0.004325026
valinc!778,0.03782674,0.005541874
dlbm!301,0.037819132,0.00578755
chmlbm!215,0.037808321,0.004938744
malch!399,0.037805901,0.004355341
forbm!346,0.037804987,0.004857039
ecgradd!337,0.03779961,0.004755942
diamortnl!285,0.037792133,0.00403729
hebm!369,0.037785916,0.006138496
wrbm!836,0.03777999,0.004544332
bioloss!115,0.037778493,0.004404497
ccmlbm!118,0.037776024,0.003997708
ecgradd!329,0.037774639,0.004276415
ccmqbm!135,0.03777437,0.005172493
migrate!640,0.037772071,0.00548477
cebm!190,0.037750008,0.004158346
migrate!584,0.0377489,0.004545573
migrate!605,0.037746285,0.004477189
vmorbbm!793,0.037742595,0.00489703
hebm!371,0.037724487,0.004280712
wrbm!833,0.037716144,0.003860275
dfch!279,0.037706865,0.005300166
migrate!425,0.037705117,0.004837044
migrate!657,0.037696095,0.00388147
chmqbm!228,0.037694069,0.005057413
migrate!625,0.037690672,0.005215438
agtime!114,0.037688551,0.005626851
migrate!594,0.037685947,0.003753439
migrate!649,0.037670825,0.004492621
chpqbm!253,0.037649009,0.005197702
aceiadd!3,0.037645751,0.004522161
ccmqbm!143,0.037639674,0.00418689
chmlbm!210,0.037634932,0.003999311
agrbm!86,0.037620802,0.003983208
chmqbm!226,0.037617706,0.005338224
migrate!443,0.037617359,0.005220069
emcst!338,0.037614787,0.004736458
migrate!437,0.037610609,0.004875969
