trial, SCC: 2030
145,42.1046231
146,71.62055537
147,35.23125617
148,176.204152
149,37.79796016
150,97.70664797
151,24.64854091
152,22.42321784
153,39.34656964
154,65.17296893
155,64.8036086
156,45.61907513
157,73.13127832
158,39.91790813
159,15.13979622
160,107.0452344
161,46.78697127
162,32.72397039
163,75.89674871
164,25.24154842
165,137.2152984
166,68.4420132
167,71.18298454
168,42.62296198
169,43.4039785
170,24.59878504
171,54.59822663
172,61.60795995
173,28.15675043
174,80.04516826
175,47.15307231
176,35.67958301
177,53.85226885
178,53.83116588
179,55.02497358
180,57.03249139
181,49.03252456
182,43.30535572
183,27.61197802
184,32.66342977
185,65.28896357
186,48.99942757
187,45.61097028
188,21.04035387
189,58.33206979
190,66.01179037
191,24.67072823
192,22.98323343
193,31.73282648
194,18.29672726
195,54.64570083
196,72.04268681
197,27.19132364
198,38.66741872
199,53.63022256
200,26.18545669
201,96.02438784
202,62.32199281
203,69.26691032
204,49.64537463
205,33.63868957
206,68.25387482
207,46.26660933
208,32.31295322
209,39.81243313
210,69.86452953
211,51.35339706
212,117.8449608
213,33.71720552
214,79.35348933
215,55.91949722
216,62.45088522
217,53.72099345
218,66.81353517
219,18.55806274
220,23.38393589
221,140.7353443
222,46.34268257
223,66.04965041
224,63.37814234
225,104.0080622
226,31.89603778
227,87.84083247
228,37.72890537
229,264.1372668
230,51.0207777
231,34.15966733
232,70.64419145
233,23.48640635
234,123.4183379
235,54.3830002
236,125.6510676
237,23.86421051
238,78.93518952
239,35.80790686
240,63.5634294
241,109.9349221
242,59.75852302
243,33.9602722
244,30.46215515
245,71.41727528
246,49.22075749
247,30.28096936
248,38.45567857
249,56.70730394
250,28.4438716
251,54.1744834
252,33.60848189
253,107.0883016
254,37.60336043
255,40.52022087
256,38.48320994
257,48.7327232
258,46.06461582
259,31.02916975
260,41.24071302
261,36.21866442
262,34.52459074
263,70.80134155
264,71.73478474
265,89.13439254
266,46.81891951
267,49.04364768
268,185.7833695
269,95.74036894
270,56.85300956
271,41.81636779
272,47.36341475
273,31.75059689
274,88.70513733
275,39.11146556
276,45.69038461
277,24.24751629
278,146.9881889
279,81.26449339
280,27.8881008
281,53.64045048
282,133.2031594
283,55.95276208
284,34.01984398
285,26.36292208
286,132.7438265
287,69.02667022
288,62.09774466
289,70.60281509
290,40.65907418
291,87.4660212
292,48.30690924
293,56.60159099
294,50.19946589
295,65.3134789
296,28.49068602
297,70.17031909
298,27.84081312
299,20.97266548
300,60.62673821
301,56.42881501
302,35.40587746
303,27.48455886
304,147.8441334
305,123.8669997
306,29.78836502
307,57.12518603
308,27.93464163
309,22.38670279
310,83.11153953
311,35.05633027
312,65.78307269
313,75.91006267
314,66.14416025
315,40.11693446
316,45.76137733
317,35.84536393
318,127.4669739
319,23.80003481
320,22.46895296
321,74.44496454
322,33.82173372
323,115.4258585
324,96.27257927
325,184.800492
326,22.05532342
327,41.43659643
328,79.92587841
329,52.27177189
330,31.28101429
331,61.47216936
332,32.87596274
333,107.2991267
334,113.9787601
335,144.295832
336,27.70881468
337,23.21306703
338,65.86894127
339,56.65793402
340,104.9863856
341,40.71041631
342,29.88948838
343,46.86841062
344,74.33878589
345,33.77341043
346,28.9603702
347,25.83363904
348,70.79185458
349,40.93023816
350,33.46512936
351,42.12922633
352,46.05005945
353,31.86397703
354,101.7971133
355,35.3689591
356,71.45585787
357,78.34486706
358,57.7872723
359,37.34379533
360,28.05071936
361,46.58310568
362,21.69929943
363,42.0577622
364,66.90520019
365,54.97631785
366,52.83387502
367,46.41868755
368,39.31222147
369,100.1115305
370,26.19847053
371,40.55633795
372,43.63030786
373,38.2380244
374,23.07276268
375,60.09530942
376,108.7290513
377,21.58975566
378,47.27380081
379,46.88180406
380,26.61365742
381,37.24054689
382,42.51299201
383,122.8011561
384,69.26015877
385,34.24401517
386,46.32774615
387,26.81581088
388,128.1480121
389,70.65157889
390,42.60447808
391,81.00804721
392,84.95684583
393,130.0505067
394,24.36574826
395,79.43590764
396,81.45068597
397,38.73478639
398,54.96550024
399,44.32910714
400,27.89099853
401,87.31117553
402,33.68301711
403,66.48744808
404,50.71946322
405,58.67226093
406,62.01571888
407,39.58025129
408,75.81953374
409,31.82064555
410,66.28594527
411,50.03670311
412,46.413271
413,54.29302396
414,39.59453872
415,141.2205906
416,33.23096956
417,47.6774469
418,33.03423895
419,111.7790087
420,42.06881346
421,62.59014156
422,55.25663075
423,63.25647522
424,32.86408901
425,37.70115879
426,22.32725134
427,33.68972164
428,30.93997965
429,37.36858745
430,73.32546007
431,22.3141044
432,104.3443722
433,89.45559654
434,40.75303003
435,35.3904149
436,101.7235651
437,27.11503471
438,40.10043195
439,35.80575483
440,25.33899447
441,40.83655332
442,60.2598678
443,44.4164213
444,76.51665597
445,72.44711251
446,32.2690604
447,44.66823696
448,35.06466441
449,28.74930977
450,41.74138781
451,79.44907559
452,135.3331919
453,35.29881318
454,29.34805769
455,59.90712963
456,99.19937063
457,17.46575816
458,49.81472395
459,36.04106371
460,38.03592917
461,30.34355482
462,26.05471514
463,46.43904831
464,38.74091446
465,36.05462695
466,45.92871325
467,26.8223125
468,44.87237844
469,44.48402773
470,36.96060393
471,24.7301806
472,136.7966752
473,27.51366686
474,41.65685318
475,45.8882399
476,31.28799907
477,39.80094329
478,18.64318522
479,22.0559251
480,87.67355033
481,92.33716899
482,56.3283835
483,148.2477589
484,22.29241201
485,138.7022939
486,28.18461527
487,25.22050503
488,36.43397474
489,69.79892059
490,62.79140222
491,21.75149961
492,26.025125
493,100.1380058
494,148.8820306
495,46.64656304
496,140.1191119
497,45.82718514
498,59.99654472
499,41.84923964
500,69.18533167
501,167.0594802
502,90.67527347
503,62.15758835
504,49.17098332
505,66.18720309
506,45.35285193
507,27.60093306
508,45.93497661
509,26.18659906
510,28.63483468
511,49.7249418
512,49.72375223
513,42.55327118
514,53.66828115
515,25.91852391
516,61.8866745
517,91.58954497
518,18.15816433
519,59.75264499
520,113.4524538
521,76.5783975
522,83.67567377
523,79.42699478
524,114.9405139
525,99.10565334
526,50.27605721
527,43.6347305
528,65.99045015
529,54.61881739
530,25.16649134
531,49.29203776
532,24.00348689
533,64.94451046
534,30.82962776
535,75.38066218
536,28.63154813
537,81.37360534
538,65.58319052
539,44.68687601
540,47.8732405
541,72.68008471
542,49.4732269
543,40.41743928
544,104.106416
545,73.92068402
546,42.30126912
547,50.57452266
548,36.6254282
549,162.0043501
550,28.46883727
551,100.2480548
552,36.89425054
553,24.37020721
554,27.87955594
555,41.6964094
556,41.29563814
557,38.17498512
558,111.8177703
559,40.68397446
560,87.1203925
561,108.5964613
562,63.54151252
563,73.57039641
564,51.81117758
565,111.9305942
566,31.72064926
567,44.59085316
568,39.99475593
569,33.09274019
570,32.26840099
571,117.8792068
572,37.93825216
573,65.57800861
574,68.41348454
575,27.69318264
576,28.53926885
577,31.90721719
578,25.46360573
579,34.56758755
580,37.08045382
581,54.20587688
582,51.4678135
583,40.99682111
584,33.2356316
585,146.587069
586,29.19358507
